# frame,type,x,y
3885,Alien1,875,399
3900,Alien2,920,434
4020,Alien1,740,238
4040,Alien1,790,283
4060,Alien1,840,328
4080,Alien1,890,373
4100,PowerUp-MultiShot,760,394
4200,Alien1,740,327
4220,Alien1,790,372
4240,Alien1,840,417
4260,Alien1,890,462
4380,Alien2,740,444
4395,Alien1,785,479
4410,Alien2,830,514
4425,Alien1,875,549
4440,Alien2,920,570
4560,Alien2,740,523
4595,Alien2,780,511
4630,Alien2,820,255
4665,Alien2,860,365
4740,Alien1,740,405
4760,Alien1,790,450
4780,Alien1,840,495
4800,Alien1,890,540
4920,Alien1,740,68
4940,Alien1,790,113
4960,Alien1,840,158
4980,Alien1,890,203
5100,Alien2,740,465
5135,Alien2,780,218
5170,Alien2,820,110
5205,Alien2,860,507
5280,Alien1,740,488
5300,Alien1,790,533
5320,Alien1,840,570
5340,Alien1,890,570
5460,Alien1,740,239
5480,Alien1,790,284
5500,Alien1,840,329
5520,Alien1,890,374
5640,Alien2,740,252
5655,Alien1,785,287
5670,Alien2,830,322
5685,Alien1,875,357
5700,Alien2,920,392
5700,PowerUp-SpeedUp,760,492
5820,Alien2,740,256
5855,Alien2,780,153
5890,Alien2,820,259
5925,Alien2,860,251
6000,Alien1,740,388
6020,Alien1,790,433
6040,Alien1,840,478
6060,Alien1,890,523
6180,Alien2,740,379
6195,Alien1,785,414
6210,Alien2,830,449
6225,Alien1,875,484
6240,Alien2,920,519
6360,Alien2,740,106
6395,Alien2,780,381
6430,Alien2,820,395
6465,Alien2,860,157
6540,Alien2,740,195
6575,Alien2,780,153
6610,Alien2,820,306
6645,Alien2,860,264
6700,PowerUp-MultiShot,760,349
6720,Alien2,740,347
6735,Alien1,785,382
6750,Alien2,830,417
6765,Alien1,875,452
6780,Alien2,920,487
6900,Alien2,740,182
6935,Alien2,780,420
6970,Alien2,820,236
7005,Alien2,860,501
7080,Alien1,740,162
7100,Alien1,790,207
7120,Alien1,840,252
7140,Alien1,890,297
7260,Alien1,740,457
7280,Alien1,790,502
7300,Alien1,840,547
7320,Alien1,890,570
7440,Alien2,740,225
7455,Alien1,785,260
7470,Alien2,830,295
7485,Alien1,875,330
7500,Alien2,920,365
7620,Alien2,740,60
7635,Alien1,785,88
7650,Alien2,830,123
7665,Alien1,875,158
7680,Alien2,920,193
7800,Alien1,740,335
7820,Alien1,790,380
7840,Alien1,840,425
7860,Alien1,890,470
7980,Alien2,740,178
8015,Alien2,780,405
8050,Alien2,820,325
8085,Alien2,860,272
8100,PowerUp-SpeedUp,760,293
8160,Alien2,740,143
8195,Alien2,780,205
8230,Alien2,820,141
8265,Alien2,860,196
8340,Alien2,740,345
8375,Alien2,780,204
8410,Alien2,820,452
8445,Alien2,860,369
8520,Alien2,740,318
8535,Alien1,785,353
8550,Alien2,830,388
8565,Alien1,875,423
8580,Alien2,920,458
8700,Alien2,740,205
8715,Alien1,785,240
8730,Alien2,830,275
8745,Alien1,875,310
8760,Alien2,920,345
8880,Alien1,740,115
8900,Alien1,790,160
8920,Alien1,840,205
8940,Alien1,890,250
9060,Alien2,740,116
9095,Alien2,780,456
9130,Alien2,820,94
9165,Alien2,860,510
9240,Alien1,740,123
9260,Alien1,790,168
9280,Alien1,840,213
9300,Alien1,890,258
9300,PowerUp-MultiShot,760,191
9420,Alien2,740,475
9455,Alien2,780,418
9490,Alien2,820,286
9525,Alien2,860,375
9600,Alien1,740,242
9620,Alien1,790,287
9640,Alien1,840,332
9660,Alien1,890,377
9780,Alien2,740,325
9795,Alien1,785,360
9810,Alien2,830,395
9825,Alien1,875,430
9840,Alien2,920,465
9960,Alien2,740,290
9975,Alien1,785,325
9990,Alien2,830,360
10005,Alien1,875,395
10020,Alien2,920,430
10140,Alien2,740,303
10155,Alien1,785,338
10170,Alien2,830,373
10185,Alien1,875,408
10200,Alien2,920,443
10320,Alien1,740,393
10340,Alien1,790,438
10360,Alien1,840,483
10380,Alien1,890,528
10500,Alien2,740,419
10500,PowerUp-SpeedUp,760,175
10535,Alien2,780,523
10570,Alien2,820,344
10605,Alien2,860,454
10680,Alien2,740,413
10695,Alien1,785,448
10710,Alien2,830,483
10725,Alien1,875,518
10740,Alien2,920,553
10860,Alien2,740,127
10895,Alien2,780,220
10930,Alien2,820,292
10965,Alien2,860,150
11040,Alien2,740,60
11055,Alien1,785,60
11070,Alien2,830,91
11085,Alien1,875,126
11100,Alien2,920,161
11220,Alien2,740,438
11255,Alien2,780,204
11290,Alien2,820,326
11325,Alien2,860,460
11400,Alien1,740,304
11420,Alien1,790,349
11440,Alien1,840,394
11460,Alien1,890,439
11580,Alien1,740,490
11600,Alien1,790,535
11620,Alien1,840,570
11640,Alien1,890,570
11760,Alien2,740,500
11795,Alien2,780,397
11830,Alien2,820,329
11865,Alien2,860,381
11900,PowerUp-MultiShot,760,336
11940,Alien1,740,123
11960,Alien1,790,168
11980,Alien1,840,213
12000,Alien1,890,258
12120,Alien2,740,410
12135,Alien1,785,445
12150,Alien2,830,480
12165,Alien1,875,515
12180,Alien2,920,550
12300,Alien1,740,321
12320,Alien1,790,366
12340,Alien1,840,411
12360,Alien1,890,456
12480,Alien2,740,376
12515,Alien2,780,235
12550,Alien2,820,320
12585,Alien2,860,79
12660,Alien1,740,230
12680,Alien1,790,275
12700,Alien1,840,320
12720,Alien1,890,365
12840,Alien2,740,142
12855,Alien1,785,177
12870,Alien2,830,212
12885,Alien1,875,247
12900,Alien2,920,282
12900,PowerUp-SpeedUp,760,247
13020,Alien1,740,168
13040,Alien1,790,213
13060,Alien1,840,258
13080,Alien1,890,303
13200,Alien2,740,113
13235,Alien2,780,444
13270,Alien2,820,318
13305,Alien2,860,487
13380,Alien1,740,434
13400,Alien1,790,479
13420,Alien1,840,524
13440,Alien1,890,569
13560,Alien2,740,134
13595,Alien2,780,135
13630,Alien2,820,407
13665,Alien2,860,313
13740,Alien2,740,205
13775,Alien2,780,340
13810,Alien2,820,516
13845,Alien2,860,380
13920,Alien2,740,128
13935,Alien1,785,163
13950,Alien2,830,198
13965,Alien1,875,233
13980,Alien2,920,268
14100,Alien2,740,443
14135,Alien2,780,423
14170,Alien2,820,172
14205,Alien2,860,435
14280,Alien2,740,224
14295,Alien1,785,259
14310,Alien2,830,294
14325,Alien1,875,329
14340,Alien2,920,364
14460,Alien2,740,261
14495,Alien2,780,294
14500,PowerUp-MultiShot,760,213
14530,Alien2,820,530
14565,Alien2,860,334
14640,Alien2,740,81
14655,Alien1,785,116
14670,Alien2,830,151
14685,Alien1,875,186
14700,Alien2,920,221
14820,Alien1,740,160
14840,Alien1,790,205
14860,Alien1,840,250
14880,Alien1,890,295
15000,Alien1,740,218
15020,Alien1,790,263
15040,Alien1,840,308
15060,Alien1,890,353
15180,Alien1,740,346
15200,Alien1,790,391
15220,Alien1,840,436
15240,Alien1,890,481
15300,PowerUp-SpeedUp,760,218
15360,Alien2,740,371
15395,Alien2,780,182
15430,Alien2,820,73
15465,Alien2,860,106
15540,Alien2,740,100
15575,Alien2,780,187
15610,Alien2,820,104
15645,Alien2,860,533
15720,Alien1,740,485
15740,Alien1,790,530
15760,Alien1,840,570
15780,Alien1,890,570
15900,Alien2,740,60
15915,Alien1,785,91
15930,Alien2,830,126
15945,Alien1,875,161
15960,Alien2,920,196
16080,Alien2,740,212
16115,Alien2,780,412
16150,Alien2,820,318
16185,Alien2,860,179
16260,Alien2,740,440
16295,Alien2,780,548
16330,Alien2,820,521
16365,Alien2,860,362
16440,Alien2,740,194
16475,Alien2,780,471
16510,Alien2,820,312
16545,Alien2,860,483
16620,Alien2,740,117
16635,Alien1,785,152
16650,Alien2,830,187
16665,Alien1,875,222
16680,Alien2,920,257
16800,Alien1,740,94
16820,Alien1,790,139
16840,Alien1,840,184
16860,Alien1,890,229
16980,Alien2,740,251
17015,Alien2,780,286
17050,Alien2,820,280
17085,Alien2,860,309
17160,Alien2,740,414
17195,Alien2,780,404
17230,Alien2,820,400
17265,Alien2,860,120
17400,Boss,760,270
1100,PowerUp-Shield,760,290
1850,PowerUp-Damage,760,210
2300,Centipede,760,220
3100,PowerUp-Laser,760,430
3900,PowerUp-Shield,760,360
4700,PowerUp-Damage,760,180
5500,PowerUp-MultiShot,760,290
6400,PowerUp-SpeedUp,760,450
